category,model,round_date,actual,forecast
Category B,log+drift,2025-09-15,136890.0,127389
Category B,log+drift,2025-10-01,141000.0,136442
Category B,log+drift,2025-10-15,131889.0,140150
Category B,log+drift,2025-11-01,115001.0,131294
Category B,log+drift,2025-11-15,129890.0,115700
Category B,log+drift,2025-12-01,123900.0,130882
Category B,log+drift,2025-12-15,115102.0,124907
Category B,log+drift,2026-01-01,119100.0,115580
Category B,log+drift,2026-01-15,121634.0,121220
Category B,log+drift,2026-02-01,110890.0,122079
Category B,log+drift,2026-02-15,105001.0,112019
Category B,log+drift,2026-03-01,114002.0,106242
Category B,log+drift,2026-03-15,115568.0,116435
Category B,log+drift,2026-04-01,121000.0,115383
Category B,log+drift,2026-04-15,121001.0,121363
Category B,log+drift,2026-05-01,126236.0,121047
Category B,log+drift,2026-05-15,129501.0,126667
Category B,log+drift,2026-06-01,126989.0,128678
Category B,log+drift,2026-06-15,123502.0,127229
Category B,log+drift,2026-07-01,130889.0,123708
Category B,log+drift,2026-07-15,129890.0,131517
Category B,log+drift,2026-08-01,129910.0,129877
Category B,log+drift,2026-08-15,131001.0,130330
Category B,log+drift,2026-09-01,135001.0,131257
Category B,log+drift+quota,2025-09-15,136890.0,127487
Category B,log+drift+quota,2025-10-01,141000.0,135417
Category B,log+drift+quota,2025-10-15,131889.0,140438
Category B,log+drift+quota,2025-11-01,115001.0,132259
Category B,log+drift+quota,2025-11-15,129890.0,116998
Category B,log+drift+quota,2025-12-01,123900.0,131959
Category B,log+drift+quota,2025-12-15,115102.0,123479
Category B,log+drift+quota,2026-01-01,119100.0,117001
Category B,log+drift+quota,2026-01-15,121634.0,121053
Category B,log+drift+quota,2026-02-01,110890.0,121880
Category B,log+drift+quota,2026-02-15,105001.0,112016
Category B,log+drift+quota,2026-03-01,114002.0,107015
Category B,log+drift+quota,2026-03-15,115568.0,115147
Category B,log+drift+quota,2026-04-01,121000.0,115263
Category B,log+drift+quota,2026-04-15,121001.0,120718
Category B,log+drift+quota,2026-05-01,126236.0,119194
Category B,log+drift+quota,2026-05-15,129501.0,126212
Category B,log+drift+quota,2026-06-01,126989.0,128433
Category B,log+drift+quota,2026-06-15,123502.0,127073
Category B,log+drift+quota,2026-07-01,130889.0,124667
Category B,log+drift+quota,2026-07-15,129890.0,131298
Category B,log+drift+quota,2026-08-01,129910.0,128605
Category B,log+drift+quota,2026-08-15,131001.0,130048
